date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-09-07 04:09:48,10979141,5F31DE033220-02,F31,ECM remodeling and crosstalk with cell fate in zebrafish ligament regeneration,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,49774,49774,0
2024-09-07 04:09:48,10995462,1F31NR021330-01,F31,The Role of Social Determinants in Reproductive Coercion: Understanding Health Information and Support Needs,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,51974,51974,0
2024-07-06 04:07:38,10869925,5F31MH134617-02,F31,Testing competing models of the computational role of dopamine in hallucinations,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-07-01 12:07:00,2025-03-13 12:03:00,2025-06-30 12:06:00,2024-07-01 12:07:00,2025-03-13 12:03:00,2025-06-30 12:06:00,48994,48994,0
2024-09-14 04:09:49,10928756,5F31MH133351-02,F31,Interactions between motor learning and episodic memory,COLUMBIA UNIV NEW YORK MORNINGSIDE,2023-09-08 12:09:00,2025-03-13 12:03:00,2025-09-07 12:09:00,2024-09-08 12:09:00,2025-03-13 12:03:00,2025-09-07 12:09:00,48974,48974,0
2024-05-04 04:05:42,10833481,5F31MH132290-02,F31,"Neighborhood Social Environment, Composition and Depression in Latinx",COLUMBIA UNIV NEW YORK MORNINGSIDE,2023-05-01 12:05:00,2025-03-13 12:03:00,2025-04-30 12:04:00,2024-05-01 12:05:00,2025-03-13 12:03:00,2025-04-30 12:04:00,39146,39146,0
2024-08-17 04:08:08,10930696,5F31ES035280-02,F31,An equity-focused evaluation of a system-wide intervention to reduce mold in NYC public housing and its impact on asthma burden,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-15 12:09:00,2025-03-13 12:03:00,2025-08-14 12:08:00,2024-08-15 12:08:00,2025-03-13 12:03:00,2025-08-14 12:08:00,36053,36053,0
2024-09-07 04:09:48,10904727,5F31DC020904-03,F31,Auditory cortical tuning to communication sounds and genetic constraints on the vocal learning landscape,COLUMBIA UNIV NEW YORK MORNINGSIDE,2022-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-09-07 04:09:48,10904864,5F30MH126504-04,F30,Resting state connectivity signatures of obsessive compulsive symptoms,COLUMBIA UNIVERSITY HEALTH SCIENCES,2021-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,56974,56974,0
2024-09-07 04:09:48,10909057,5F31MH134699-02,F31,"Applying a multidimensional measure of human mobility to understand drivers of HIV incidence in Rakai, Uganda",COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,47324,47324,0
2024-09-07 04:09:48,10915447,5F32MH130023-03,F32,Functional interrogation of the mouse somatosensory thalamic interneuron in sensory perception and rhythmic states,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,84254,84254,0
