date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2025-03-01 04:03:19,10973362,1F99AG088576-01,F99,Effects of environmental adversity on molecular aging in the immune system of companion dogs,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,2025-02-26 12:02:00,2026-08-25 12:08:00,2030-06-30 12:06:00,2025-02-26 12:02:00,2025-08-25 12:08:00,,50474,50474,0
2024-12-07 04:12:42,11071349,1F31AI189116-01,F31,Studies on the SARS-CoV-2 Main Protease Dimerization Mechanism,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2024-12-01 12:12:00,2025-11-30 12:11:00,2027-11-30 12:11:00,2024-12-01 12:12:00,2025-11-30 12:11:00,2025-11-30 12:11:00,38674,38674,0
2024-07-06 04:07:38,10923472,1F31MH134720-01A1,F31,Understanding Patient Level Implementation Determinants Related to Long-acting Injectable HIV Pre-Exposure Prophylaxis among Young Men Who Have Sex with Men Living in Rural Areas,MEDICAL COLLEGE OF WISCONSIN,2024-07-01 12:07:00,2025-03-18 12:03:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2025-03-18 12:03:00,2025-06-30 12:06:00,48974,48974,0
2024-04-06 04:04:19,10814868,5F31HD108988-03,F31,Neurophysiologic correlates of training-induced locomotor learning post-stroke,EMORY UNIVERSITY,2022-04-01 12:04:00,2025-03-16 12:03:00,2025-03-31 12:03:00,2024-04-01 12:04:00,2025-03-16 12:03:00,2025-03-31 12:03:00,47798,48974,-1176
2024-03-23 04:03:43,10816433,5F32AG081117-02,F32,Estrogen Declines with Menopause: Impacts on the Medial Temporal Lobe Network and Emotional Memory in Aging Females at Genetic Risk for Alzheimer’s Disease,RICE UNIVERSITY,2023-03-16 12:03:00,2025-03-15 12:03:00,2026-03-15 12:03:00,2024-03-16 12:03:00,2025-03-15 12:03:00,2025-03-15 12:03:00,78328,78328,0
2024-07-06 04:07:38,10886817,5F31AI172316-03,F31,A Novel Long Noncoding RNA Associated with Systemic Lupus Erythematosus Pathogenesis,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-07-01 12:07:00,2025-03-13 12:03:00,2025-06-30 12:06:00,2024-07-01 12:07:00,2025-03-13 12:03:00,2025-06-30 12:06:00,48974,48974,0
